"age";"qx";"lx";"dx";"ex"
0;0,00415;1e+05;415;80,88
1;0,00039;99585;39;80,22
2;0,00011;99546;10;79,25
3;0,00018;99536;17;78,26
4;0,00018;99518;18;77,27
5;0,00012;99501;12;76,29
6;0,00016;99489;16;75,29
7;0,00018;99472;18;74,31
8;1e-04;99455;10;73,32
9;8e-05;99445;8;72,33
10;8e-05;99437;8;71,33
11;0,00013;99429;13;70,34
12;0,00026;99416;25;69,35
13;1e-04;99390;10;68,37
14;0,00023;99380;22;67,37
15;0,00017;99357;17;66,39
16;0,00025;99340;25;65,4
17;0,00033;99315;33;64,42
18;0,00031;99282;30;63,44
19;0,00035;99252;35;62,46
20;0,00035;99217;35;61,48
21;0,00039;99182;38;60,5
22;0,00048;99144;48;59,52
23;0,00049;99096;48;58,55
24;0,00032;99047;32;57,58
25;0,00028;99016;27;56,6
26;0,00029;98989;29;55,61
27;0,00055;98959;54;54,63
28;0,00028;98905;27;53,66
29;0,00046;98878;45;52,67
30;0,00044;98832;44;51,7
31;4e-04;98789;39;50,72
32;0,00041;98750;41;49,74
33;0,00054;98709;53;48,76
34;6e-04;98656;59;47,79
35;0,00078;98597;76;46,81
36;0,00073;98520;71;45,85
37;0,00085;98449;84;44,88
38;0,00079;98365;78;43,92
39;0,00111;98287;109;42,96
40;0,00103;98178;101;42
41;0,00133;98077;131;41,05
42;0,00176;97946;172;40,1
43;0,00171;97774;167;39,17
44;0,0015;97607;146;38,24
45;0,00182;97461;178;37,29
46;0,00209;97283;203;36,36
47;0,0021;97080;204;35,43
48;0,00234;96875;226;34,51
49;0,00272;96649;263;33,59
50;0,00291;96386;280;32,68
51;0,00344;96106;331;31,77
52;0,00334;95775;320;30,88
53;0,00331;95455;316;29,98
54;0,00327;95139;311;29,08
55;0,00407;94828;386;28,17
56;0,00456;94442;430;27,29
57;0,00475;94011;446;26,41
58;0,00448;93565;419;25,53
59;0,00525;93146;489;24,65
60;0,00601;92658;557;23,77
61;0,00618;92101;569;22,91
62;0,00674;91532;617;22,05
63;0,00777;90915;706;21,2
64;0,00764;90209;689;20,36
65;0,00866;89520;775;19,51
66;0,00961;88744;852;18,68
67;0,01064;87892;935;17,86
68;0,0115;86956;1000;17,04
69;0,01393;85956;1198;16,24
70;0,01489;84759;1262;15,46
71;0,01649;83496;1377;14,68
72;0,01828;82120;1501;13,92
73;0,02107;80618;1698;13,17
74;0,02326;78920;1836;12,44
75;0,02626;77085;2024;11,73
76;0,02984;75061;2240;11,03
77;0,03382;72821;2463;10,36
78;0,03908;70358;2750;9,7
79;0,04814;67608;3255;9,07
80;0,04629;64354;2979;8,51
81;0,05642;61375;3463;7,9
82;0,06787;57912;3930;7,34
83;0,07468;53982;4031;6,84
84;0,08766;49951;4379;6,35
85;0,09642;45572;4394;5,91
86;0,10373;41178;4272;5,49
87;0,12184;36906;4497;5,07
88;0,13003;32409;4214;4,7
89;0,15131;28195;4266;4,33
90;0,16804;23929;4021;4,01
91;0,17973;19908;3578;3,72
92;0,20217;16330;3301;3,42
93;0,22571;13029;2941;3,16
94;0,24386;10088;2460;2,94
95;0,26651;7628;2033;2,73
96;0,2891;5595;1618;2,53
97;0,31212;3977;1241;2,36
98;0,33534;2736;917;2,21
99;0,35854;1819;652;2,07
100;0,3815;1167;445;1,94
101;0,404;721;291;1,83
102;0,42585;430;183;1,73
103;0,44687;247;110;1,64
104;0,46691;137;64;1,56
105;0,48587;73;35;1,49
106;0,50365;37;19;1,43
107;0,52022;19;10;1,38
108;0,53553;9;5;1,34
109;0,54961;4;2;1,3
110;1;2;2;1,28
